URL,TITLE
http://catalogue.library.brocku.ca/search/a?searchtype=c&searcharg=B+2430+N364+N36+2014,"Nancy now / edited by Verena Andermatt Conley and Irving Goh."
http://catalogue.library.brocku.ca/search/a?searchtype=c&searcharg=B+2430+S34+S48+2013,"Severally Seeking Sartre / Edited by Benedict O'Donohoe."
http://catalogue.library.brocku.ca/search/a?searchtype=c&searcharg=BQ+9288+A966+2014,"Zen-brain horizons : toward a living zen / James H. Austin, M.D."
